service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1901_merged_15073646,20250901,20260104,0,0,0,0,0,0,0
1803_merged_15073657,20250901,20260104,0,0,0,0,0,0,0
162503_merged_15073644,20250901,20260104,0,0,0,0,0,0,0
101_merged_15073656,20250901,20260104,0,0,0,0,0,0,0
62201_merged_15073645,20250901,20260104,0,0,0,0,0,0,0
401_merged_15073677,20260105,20260419,0,0,0,0,0,0,0
401_merged_15073653,20250901,20260104,0,0,0,0,0,0,0
101_merged_15073680,20260105,20260419,0,0,0,0,0,0,0
162601_merged_15073667,20260105,20260419,0,0,0,0,0,0,0
62201_merged_15073669,20260105,20260419,0,0,0,0,0,0,0
62101_merged_15073647,20250901,20260104,0,0,0,0,0,0,0
1101_merged_15073684,20260105,20260419,0,0,0,0,0,0,0
62101_merged_15073671,20260105,20260419,0,0,0,0,0,0,0
253403_merged_15073648,20250901,20260104,0,0,0,0,0,0,0
-999_merged_15073676,20260105,20260419,1,1,1,1,1,1,1
801_merged_15073685,20260105,20260419,0,0,0,0,0,0,0
162503_merged_15073668,20260105,20260419,0,0,0,0,0,0,0
6,20250901,20260104,0,0,0,0,0,0,0
155601_merged_15073662,20250901,20260104,0,0,0,0,0,0,0
32603_merged_15073664,20260105,20260419,0,0,0,0,0,0,0
43501,20250901,20260104,0,0,0,0,0,0,0
701_merged_15073666,20260105,20260419,0,0,0,0,0,0,0
1_merged_15073673,20260105,20260419,1,1,1,1,1,0,0
701_merged_15073642,20250901,20260104,0,0,0,0,0,0,0
201_merged_15073639,20250901,20260104,0,0,0,0,0,0,0
1901_merged_15073670,20260105,20260419,0,0,0,0,0,0,0
1201_merged_15073665,20260105,20260419,0,0,0,0,0,0,0
2001_merged_15073683,20260105,20260419,0,0,0,0,0,0,0
259806,20250901,20260104,0,0,0,0,0,0,0
35301,20250901,20260104,0,0,0,0,0,0,0
259802,20250901,20260104,0,0,0,0,0,0,0
1_merged_15073649,20250901,20260104,1,1,1,1,1,0,0
2_merged_15073675,20260105,20260419,0,0,0,0,0,1,0
2_merged_15073651,20250901,20260104,0,0,0,0,0,1,0
-999_merged_15073652,20250901,20260104,1,1,1,1,1,1,1
155601_merged_15073686,20260105,20260419,0,0,0,0,0,0,0
152301_merged_15073655,20250901,20260104,0,0,0,0,0,0,0
1201_merged_15073641,20250901,20260104,0,0,0,0,0,0,0
259701,20260105,20260419,0,0,0,0,0,0,0
259703,20260105,20260419,0,0,0,0,0,0,0
259801,20250901,20260104,0,0,0,0,0,0,0
32603_merged_15073640,20250901,20260104,0,0,0,0,0,0,0
169801_merged_15073658,20250901,20260104,0,0,0,0,0,0,0
75301,20250901,20260104,0,0,0,0,0,0,0
253403_merged_15073672,20260105,20260419,0,0,0,0,0,0,0
75401,20250901,20260104,0,0,0,0,0,0,0
1803_merged_15073681,20260105,20260419,0,0,0,0,0,0,0
259803,20250901,20260104,0,0,0,0,0,0,0
3_merged_15073650,20250901,20260104,0,0,0,0,0,0,1
3_merged_15073674,20260105,20260419,0,0,0,0,0,0,1
152201_merged_15073678,20260105,20260419,0,0,0,0,0,0,0
169801_merged_15073682,20260105,20260419,0,0,0,0,0,0,0
201_merged_15073663,20260105,20260419,0,0,0,0,0,0,0
1101_merged_15073660,20250901,20260104,0,0,0,0,0,0,0
259702,20260105,20260419,0,0,0,0,0,0,0
2001_merged_15073659,20250901,20260104,0,0,0,0,0,0,0
162601_merged_15073643,20250901,20260104,0,0,0,0,0,0,0
152201_merged_15073654,20250901,20260104,0,0,0,0,0,0,0
801_merged_15073661,20250901,20260104,0,0,0,0,0,0,0
152301_merged_15073679,20260105,20260419,0,0,0,0,0,0,0
